Hour   Snow Flag   Rain Flag
    1        9           9
    2        0           0
    3        9           9
    4        9           9
    5        0           0
    6        9           9
    7        9           9
    8        0           0
    9        9           9
   10        9           9
   11        0           0
   12        9           9
   13        9           9
   14        1           0
   15        1           0
   16        1           0
   17        1           0
   18        1           0
   19        0           0
   20        1           0
   21        9           9
   22        9           9
   23        1           0
   24        9           9
